ID,Date,City,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Air_Quality
336,01-12-2024,Patna,210,100,38,112,52,3.59,57,Poor
337,02-12-2024,Patna,122,29,24,43,74,2.79,95,Moderate
338,03-12-2024,Chennai,302,242,348,74,69,2.32,44,Very Poor
339,04-12-2024,Patna,225,249,159,29,16,1.62,127,Poor
340,05-12-2024,Kanpur,217,105,27,99,45,3.6,155,Poor
341,06-12-2024,Jaipur,288,99,332,114,53,3.76,141,Poor
342,07-12-2024,Kolkata,167,54,225,90,14,0.99,45,Moderate
343,08-12-2024,Patna,174,175,147,5,35,1.85,124,Moderate
344,09-12-2024,Jaipur,247,178,174,79,75,0.25,177,Poor
345,10-12-2024,Bhopal,184,130,51,90,17,2.2,50,Moderate
346,11-12-2024,Patna,370,267,380,103,41,3.17,173,Very Poor
347,12-12-2024,Lucknow,270,198,334,33,30,4.32,132,Poor
348,13-12-2024,Chennai,303,242,330,52,55,3.22,130,Very Poor
349,14-12-2024,Chennai,232,121,146,92,78,3.95,30,Poor
350,15-12-2024,Mumbai,303,238,290,95,48,0.54,154,Very Poor
351,16-12-2024,Lucknow,236,41,300,120,66,1.07,147,Poor
352,17-12-2024,Hyderabad,229,94,187,114,68,2.1,62,Poor
353,18-12-2024,Kolkata,285,260,66,120,67,2.12,24,Poor
354,19-12-2024,Kolkata,216,77,282,58,60,2.62,153,Poor
355,20-12-2024,Kanpur,197,167,390,7,52,1.29,10,Moderate
356,21-12-2024,Delhi,154,47,43,59,46,3.21,148,Moderate
357,22-12-2024,Bhopal,121,45,261,9,38,1.96,44,Moderate
358,23-12-2024,Chennai,262,201,215,62,50,1.82,179,Poor
359,24-12-2024,Bhopal,252,78,354,115,46,0.71,147,Poor
360,25-12-2024,Patna,285,280,85,98,30,3.79,15,Poor
361,26-12-2024,Kanpur,336,247,364,97,71,2.02,107,Very Poor
362,27-12-2024,Delhi,186,136,255,49,21,1.39,38,Moderate
363,28-12-2024,Mumbai,280,224,334,103,4,1.23,27,Poor
364,29-12-2024,Bhopal,147,27,248,81,8,1.25,21,Moderate
365,30-12-2024,Lucknow,251,234,139,74,29,3.44,24,Poor
366,01-01-2024,Jaipur,265,267,168,34,75,1.57,163,Poor
367,02-01-2024,Kanpur,272,131,174,117,20,4.44,143,Poor
368,03-01-2024,Lucknow,237,221,173,40,9,2.59,161,Poor
369,04-01-2024,Bhopal,310,228,304,68,8,4.38,174,Very Poor
370,05-01-2024,Bhopal,304,278,183,94,55,1.96,86,Very Poor
371,06-01-2024,Lucknow,228,104,295,65,32,3.85,86,Poor
372,07-01-2024,Chennai,284,247,49,76,54,4.36,152,Poor
373,08-01-2024,Mumbai,167,78,218,36,34,1.07,175,Moderate
374,09-01-2024,Delhi,240,240,209,16,70,3.32,58,Poor
375,10-01-2024,Kanpur,246,147,213,91,79,2.79,28,Poor
376,11-01-2024,Patna,293,296,131,66,28,3.94,95,Poor
377,12-01-2024,Kanpur,122,17,128,29,17,3.41,132,Moderate
378,13-01-2024,Bhopal,183,114,223,35,72,1.58,82,Moderate
379,14-01-2024,Chennai,302,248,293,88,47,1.53,102,Very Poor
380,15-01-2024,Kanpur,268,264,258,17,62,3.48,91,Poor
381,16-01-2024,Lucknow,222,199,180,57,7,2.62,66,Poor
382,17-01-2024,Patna,172,18,153,75,76,2.69,116,Moderate
383,18-01-2024,Kolkata,147,88,120,47,31,1.83,72,Moderate
384,19-01-2024,Kolkata,343,291,355,92,45,1.31,135,Very Poor
385,20-01-2024,Kolkata,275,245,106,98,47,0.93,149,Poor
386,21-01-2024,Delhi,214,104,297,87,9,2.45,29,Poor
387,22-01-2024,Delhi,94,13,231,22,31,0.49,48,Satisfactory
388,23-01-2024,Hyderabad,220,121,278,63,49,0.46,173,Poor
389,24-01-2024,Bhopal,287,257,357,67,4,0.23,151,Poor
390,25-01-2024,Delhi,123,16,28,72,37,2.5,83,Moderate
391,26-01-2024,Mumbai,346,267,377,91,57,3.67,55,Very Poor
392,27-01-2024,Patna,155,59,288,24,32,1.03,144,Moderate
393,28-01-2024,Kolkata,255,191,156,106,52,0.54,113,Poor
394,29-01-2024,Delhi,283,299,144,94,30,1.49,30,Poor
395,30-01-2024,Delhi,161,57,227,53,50,2.58,24,Moderate
